soil_type,season,water,temperature,humidity,label
sandy,summer,high,28.99,72.76,watermelon
red,summer,medium,35.4,79.01,papaya
black,monsoon,low,25.91,60.22,pigeonpeas
loamy,autumn,medium,26.0,55.0,guava
sandy,summer,high,30.47,79.97,coconut
loamy,autumn,medium,22.0,92.0,orange
clay,winter,medium,9.87,21.83,wheat
red,autumn,medium,26.0,57.0,coffee
black,monsoon,low,28.68,82.89,blackgram
loamy,summer,medium,32.65,64.47,turmeric
sandy,autumn,low,18.0,30.0,barley
red,monsoon,low,26.44,60.84,pigeonpeas
red,winter,medium,15.57,86.15,apple
sandy,autumn,medium,28.0,85.0,muskmelon
loamy,monsoon,high,24.57,91.85,banana
loamy,monsoon,high,24.63,87.05,ginger
clay,summer,high,27.23,68.68,rice
black,summer,medium,28.98,39.56,chili
loamy,monsoon,medium,31.21,68.37,mango
loamy,autumn,medium,18.0,50.0,potato
red,monsoon,high,25.88,99.0,coconut
sandy,summer,medium,25.2,53.93,maize
loamy,autumn,low,23.0,81.0,grapes
loamy,summer,medium,29.04,78.83,watermelon
red,summer,medium,28.97,40.93,chili
loamy,winter,medium,17.52,35.95,tomato
loamy,summer,low,31.21,78.22,muskmelon
loamy,summer,medium,35.51,41.73,mango
red,summer,medium,28.51,71.9,cotton
clay,summer,high,29.26,65.2,jute
clay,monsoon,medium,23.97,89.59,ginger
loamy,winter,low,14.91,32.62,onion
loamy,monsoon,medium,20.76,75.13,maize
red,monsoon,medium,27.73,84.09,turmeric
loamy,monsoon,high,30.73,99.0,papaya
loamy,summer,low,30.05,40.7,mothbeans
loamy,autumn,medium,22.0,92.0,apple
clay,monsoon,high,24.17,92.77,jute
loamy,summer,low,23.24,51.07,pomegranate
red,winter,medium,15.04,39.28,tomato
loamy,winter,low,13.38,80.65,apple
black,summer,high,32.65,50.35,sugarcane
sandy,summer,low,31.55,74.88,muskmelon
loamy,summer,high,32.7,54.65,sugarcane
loamy,monsoon,low,26.56,76.22,blackgram
black,winter,medium,11.88,10.0,kidneybeans
loamy,autumn,medium,20.0,21.0,kidneybeans
clay,monsoon,low,29.0,83.65,blackgram
black,autumn,low,20.0,40.0,onion
red,monsoon,high,26.89,97.69,banana
black,summer,low,31.28,38.2,sorghum
red,summer,low,24.37,45.39,pomegranate
loamy,winter,medium,11.33,36.61,potato
loamy,winter,medium,16.87,77.98,orange
loamy,summer,medium,28.51,47.22,coffee
loamy,monsoon,medium,26.81,82.83,blackgram
loamy,summer,medium,30.74,72.69,muskmelon
clay,monsoon,medium,22.67,99.0,rice
clay,monsoon,high,23.24,99.0,rice
sandy,summer,medium,35.03,80.22,papaya
sandy,monsoon,medium,23.32,74.42,guava
loamy,summer,high,28.29,79.35,coconut
loamy,summer,low,30.93,77.75,mungbean
sandy,winter,medium,9.42,41.26,potato
sandy,monsoon,low,25.06,63.09,millets
black,winter,low,10.56,31.87,onion
loamy,winter,medium,8.99,28.75,wheat
red,monsoon,low,25.16,62.52,millets
loamy,winter,medium,16.86,78.65,apple
loamy,summer,medium,25.18,51.05,maize
loamy,summer,low,31.55,42.7,sorghum
black,winter,medium,6.06,24.2,wheat
sandy,summer,medium,30.04,46.97,guava
sandy,monsoon,low,27.98,99.0,mungbean
loamy,autumn,medium,24.0,50.0,tomato
loamy,winter,low,10.74,21.55,barley
clay,monsoon,high,26.09,90.06,banana
loamy,monsoon,high,23.3,99.0,coconut
clay,winter,low,15.64,55.16,lentil
red,summer,medium,28.89,76.77,watermelon
sandy,winter,low,12.46,32.69,onion
black,monsoon,high,25.73,79.37,sugarcane
loamy,monsoon,medium,24.37,91.12,ginger
loamy,monsoon,high,22.09,93.18,jute
loamy,summer,medium,30.31,42.97,guava
loamy,summer,medium,25.72,78.51,orange
black,summer,low,29.78,36.04,pigeonpeas
black,winter,low,9.38,28.79,wheat
loamy,monsoon,high,22.16,97.53,rice
sandy,winter,low,8.11,24.46,barley
loamy,monsoon,medium,27.64,81.72,turmeric
sandy,summer,low,32.8,36.2,millets
loamy,monsoon,medium,23.44,69.68,chili
sandy,monsoon,high,24.08,99.0,coconut
sandy,summer,low,25.29,74.58,grapes
loamy,summer,low,27.0,71.38,grapes
clay,winter,medium,14.08,85.34,apple
loamy,autumn,low,20.0,40.0,onion
loamy,summer,high,28.43,76.49,watermelon
black,winter,low,16.84,49.14,lentil
loamy,monsoon,high,27.45,83.11,turmeric
loamy,monsoon,medium,23.66,99.0,tea
red,autumn,low,27.0,50.0,sorghum
black,winter,low,9.29,10.0,chickpea
red,summer,medium,35.48,37.7,mango
loamy,monsoon,medium,23.95,67.2,coffee
sandy,autumn,low,28.0,53.0,mothbeans
loamy,winter,medium,16.53,52.71,lentil
loamy,winter,low,8.51,10.0,chickpea
loamy,winter,low,15.5,52.91,lentil
loamy,summer,high,31.97,74.34,banana
sandy,winter,low,10.3,10.0,chickpea
black,monsoon,high,24.83,94.46,banana
loamy,monsoon,low,25.18,99.0,mungbean
sandy,summer,low,23.2,43.35,pomegranate
red,summer,low,30.63,37.01,pigeonpeas
sandy,summer,medium,29.86,74.02,watermelon
sandy,summer,low,31.31,77.42,mungbean
loamy,autumn,medium,22.0,65.0,maize
loamy,autumn,low,18.0,16.0,chickpea
red,summer,medium,26.81,51.82,maize
loamy,autumn,medium,15.0,35.0,wheat
red,summer,medium,28.41,42.29,coffee
sandy,summer,medium,30.1,73.39,muskmelon
loamy,summer,low,31.97,37.21,millets
loamy,summer,medium,29.96,40.72,chili
loamy,monsoon,medium,31.73,99.0,papaya
red,summer,low,30.11,31.59,millets
red,monsoon,medium,25.2,71.52,coffee
loamy,summer,medium,26.97,66.3,cotton
black,autumn,low,27.0,50.0,sorghum
sandy,summer,medium,34.68,39.62,mango
red,monsoon,medium,23.59,74.15,guava
red,summer,low,34.78,35.43,mango
clay,winter,low,5.02,21.68,wheat
loamy,monsoon,medium,26.0,64.96,pigeonpeas
black,summer,low,26.34,72.33,cotton
loamy,winter,medium,13.17,10.0,kidneybeans
loamy,autumn,low,18.0,30.0,barley
red,summer,low,31.67,45.29,mothbeans
red,summer,low,31.67,44.65,sorghum
loamy,monsoon,low,26.05,66.57,pigeonpeas
red,autumn,medium,24.0,80.0,tea
red,winter,low,10.17,10.0,chickpea
loamy,winter,low,13.2,14.81,kidneybeans
clay,winter,medium,10.63,10.0,kidneybeans
sandy,monsoon,medium,20.47,80.83,maize
loamy,winter,low,7.59,27.86,wheat
sandy,winter,medium,16.87,39.53,tomato
loamy,autumn,low,24.0,64.0,lentil
clay,monsoon,medium,23.94,98.85,jute
sandy,summer,low,29.94,42.63,sorghum
loamy,monsoon,high,22.14,96.03,tea
red,summer,medium,31.19,75.42,muskmelon
black,winter,low,8.42,18.55,barley
sandy,summer,low,30.93,40.12,mothbeans
loamy,summer,high,28.19,64.03,jute
red,monsoon,medium,24.63,92.62,ginger
loamy,monsoon,high,26.89,73.77,sugarcane
red,monsoon,high,23.11,87.54,ginger
red,summer,medium,25.81,81.64,orange
black,summer,low,32.03,36.94,millets
loamy,autumn,medium,26.0,57.0,coffee
clay,winter,low,12.63,16.45,barley
red,autumn,low,21.0,58.0,pomegranate
red,summer,low,31.3,71.75,mungbean
black,monsoon,medium,21.13,95.4,cotton
loamy,summer,medium,30.17,70.99,mungbean
loamy,monsoon,medium,23.65,95.0,cotton
sandy,autumn,low,23.0,81.0,grapes
sandy,monsoon,medium,22.45,99.0,watermelon
sandy,monsoon,low,27.16,66.97,mothbeans
sandy,autumn,medium,24.0,50.0,tomato
sandy,monsoon,medium,23.1,99.0,coconut
red,autumn,medium,22.0,92.0,orange
loamy,summer,high,28.52,67.2,rice
black,summer,low,31.63,57.75,blackgram
red,monsoon,high,21.51,98.61,tea
black,autumn,low,18.0,16.0,chickpea
loamy,monsoon,medium,25.04,99.0,banana
sandy,monsoon,medium,32.74,99.0,papaya
